Time,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ
22.440,-1.12,-0.88,-0.62,0,-78,-16
22.442,-1.12,-1.38,-0.62,16,-78,-16
22.444,-0.88,-2.00,-0.38,31,-47,-16
22.446,-0.50,-2.50,-0.25,47,-16,-16
22.448,-0.38,-2.75,-0.25,31,0,-16
22.450,-0.25,-2.50,-0.50,16,16,-16
22.452,0.12,-1.62,-0.25,-63,16,-16
22.454,0.25,-1.00,0.25,-78,16,-31
22.456,0.25,-0.50,0.50,-63,16,-16
22.458,0.25,-0.12,0.38,-63,16,-16
22.460,0.75,0.12,0.38,-63,16,-16
22.462,1.38,0.25,0.38,-78,47,-16
22.464,1.62,0.00,0.38,-63,63,-31
22.466,1.75,-0.50,-0.12,-16,47,-16
22.468,1.75,-0.88,-0.38,-16,31,-16
22.470,1.75,-0.88,-0.38,-16,16,-16
22.472,1.62,-0.75,-0.25,-31,16,-31
22.474,1.25,-0.75,0.12,-31,-16,-16
22.476,0.75,-0.62,0.38,-16,-31,-16
22.478,0.50,-0.50,0.50,-16,-31,-16
22.480,0.50,-0.50,0.38,-31,-16,-16
22.482,0.62,-0.62,0.25,-31,0,0
22.484,0.88,-0.62,0.00,-16,16,0
22.486,1.00,-0.62,-0.12,-16,16,0
22.488,1.00,-0.62,-0.12,-16,16,0
22.490,1.00,-0.62,0.00,-16,16,0
22.492,1.00,-0.62,0.00,-16,0,16
22.494,1.00,-0.62,0.12,-16,0,16
22.496,1.00,-0.50,0.00,-16,16,16
22.498,1.00,-0.62,-0.12,-16,16,16
22.500,1.12,-0.62,-0.25,0,16,16
22.502,1.12,-0.75,-0.25,0,16,16
22.504,1.12,-0.88,-0.25,0,16,16
22.506,1.00,-0.75,-0.25,16,16,16
22.508,0.75,-0.50,-0.25,16,16,16
22.510,0.50,-0.38,-0.12,16,16,31
22.512,0.38,-0.25,-0.12,16,16,31
22.514,0.25,-0.12,-0.12,31,16,31
22.516,0.12,0.12,-0.12,31,31,31
22.518,0.00,0.25,-0.12,31,31,31
22.520,0.00,0.25,-0.12,47,31,31
22.522,0.00,0.25,-0.12,47,47,31
22.524,0.12,0.00,0.00,78,47,31
22.526,0.25,-0.25,0.00,94,63,31
22.528,0.38,-0.38,0.00,94,63,16
22.530,0.38,-0.38,-0.12,94,63,16
22.532,0.38,-0.50,-0.12,94,78,16
22.534,0.38,-0.62,0.00,109,63,16
22.536,0.38,-0.88,0.12,109,63,16
22.538,0.25,-1.00,0.38,125,63,0
22.540,0.25,-1.12,0.38,109,63,0
22.542,0.12,-1.12,0.38,109,63,0
22.544,0.12,-1.00,0.38,94,63,-16
22.546,0.00,-0.75,0.38,94,63,-16
22.548,-0.12,-0.75,0.50,94,63,-16
22.550,-0.12,-0.62,0.62,94,63,-16
22.552,0.00,-0.62,0.75,94,63,-16
22.554,0.12,-0.62,0.88,94,78,-16
22.556,0.25,-0.62,0.75,78,78,-31
22.558,0.38,-0.62,0.75,78,78,-31
22.560,0.50,-0.62,0.75,78,78,-31
22.562,0.62,-0.62,0.75,78,78,-31
22.564,0.62,-0.62,0.88,78,63,-31
22.566,0.75,-0.62,1.00,78,63,-31
22.568,0.75,-0.75,1.12,78,63,-31
23.878,0.62,-0.75,0.12,-16,-16,0
23.880,0.75,-0.88,0.12,-16,-16,0
23.882,0.75,-0.75,0.00,-16,-16,0
23.884,0.75,-0.62,-0.12,-16,-16,0
23.886,1.38,-1.12,-0.25,0,0,0
23.888,2.12,-1.88,-0.38,31,31,0
23.890,2.00,-2.38,-0.88,31,31,0
23.892,2.38,-2.50,-2.25,0,16,16
23.894,2.50,-1.75,-2.75,-31,0,16
23.896,1.88,-0.38,-2.50,-63,0,31
23.898,0.62,0.38,-2.12,-78,-47,16
23.900,-0.88,0.88,-1.62,-63,-109,0
23.902,-1.75,1.00,-0.75,-31,-156,0
23.904,-1.88,0.38,-0.12,47,-109,-16
23.906,-1.62,-0.50,0.00,63,-47,-16
23.908,-1.50,-1.12,-0.38,63,0,-31
23.910,-1.12,-1.50,-1.12,31,31,-31
23.912,-0.75,-1.88,-1.50,16,31,-47
23.914,-0.25,-1.88,-1.12,0,47,-47
23.916,-0.12,-2.00,-0.50,0,47,-47
23.918,0.12,-1.75,0.00,0,47,-31
23.920,0.50,-1.25,0.50,-31,47,-31
23.922,0.75,-0.88,0.88,-31,63,-31
23.924,1.38,-0.62,0.62,-31,78,-16
23.926,1.75,-0.50,0.12,-47,94,-16
23.928,2.25,-0.50,-0.38,-63,94,-16
23.930,2.50,-0.38,-0.62,-63,94,-16
23.932,2.50,-0.12,-0.62,-47,63,-31
23.934,2.12,-0.12,-0.25,-31,31,-16
23.936,1.75,0.00,0.12,-16,0,-16
23.938,1.25,0.12,0.38,-16,0,-16
23.940,1.00,0.12,0.38,0,0,-16
23.942,0.88,0.00,0.12,0,0,-16
23.944,1.00,-0.12,0.00,0,16,0
23.946,1.00,-0.38,-0.12,0,31,0
23.948,1.12,-0.50,0.00,16,16,16
23.950,1.12,-0.62,0.12,16,16,16
23.952,1.12,-0.75,0.25,16,16,16
